X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.00011528,0.0662631,,0.00011528,1.12005
0.00011628,0.0667323,,0.00011628,1.1262
0.00011728,0.0671989,,0.00011728,1.13228
0.00011828,0.0676629,,0.00011828,1.1383
0.00011928,0.0681242,,0.00011928,1.14426
0.00012028,0.0685829,,0.00012028,1.15017
0.00012128,0.0690388,,0.00012128,1.15601
0.00012228,0.0694919,,0.00012228,1.1618
0.00012328,0.0699424,,0.00012328,1.16753
0.00012428,0.0703901,,0.00012428,1.1732
0.00012528,0.070835,,0.00012528,1.17881
0.00012628,0.0712771,,0.00012628,1.18436
0.00012728,0.0717164,,0.00012728,1.18985
0.00012828,0.0721528,,0.00012828,1.19529
0.00012928,0.0725864,,0.00012928,1.20067
0.00013028,0.0730172,,0.00013028,1.20599
0.00013128,0.073445,,0.00013128,1.21126
0.00013228,0.07387,,0.00013228,1.21647
0.00013328,0.0742921,,0.00013328,1.22162
0.00013428,0.0747112,,0.00013428,1.22672
0.00013528,0.0751273,,0.00013528,1.23176
0.00013628,0.0755405,,0.00013628,1.23674
0.00013728,0.0759508,,0.00013728,1.24167
0.00013828,0.076358,,0.00013828,1.24654
0.00013928,0.0767622,,0.00013928,1.25136
0.00014028,0.0771633,,0.00014028,1.25612
0.00014128,0.0775615,,0.00014128,1.26083
0.00014228,0.0779565,,0.00014228,1.26549
0.00014328,0.0783485,,0.00014328,1.27008
0.00014428,0.0787374,,0.00014428,1.27463
0.00014528,0.0791232,,0.00014528,1.27912
0.00014628,0.0795059,,0.00014628,1.28356
0.00014728,0.0798854,,0.00014728,1.28795
0.00014828,0.0802618,,0.00014828,1.29228
0.00014928,0.080635,,0.00014928,1.29656
0.00015028,0.081005,,0.00015028,1.30078
0.00015128,0.0813718,,0.00015128,1.30496
0.00015228,0.0817354,,0.00015228,1.30908
0.00015328,0.0820958,,0.00015328,1.31315
0.00015428,0.0824529,,0.00015428,1.31717
0.00015528,0.0828068,,0.00015528,1.32114
0.00015628,0.0831574,,0.00015628,1.32505
0.00015728,0.0835048,,0.00015728,1.32892
0.00015828,0.0838488,,0.00015828,1.33273
0.00015928,0.0841895,,0.00015928,1.3365
0.00016028,0.0845269,,0.00016028,1.34021
0.00016128,0.084861,,0.00016128,1.34388
0.00016228,0.0851917,,0.00016228,1.34749
0.00016328,0.0855191,,0.00016328,1.35106
0.00016428,0.085843,,0.00016428,1.35457
0.00016528,0.0861636,,0.00016528,1.35804
0.00016628,0.0864808,,0.00016628,1.36146
0.00016728,0.0867946,,0.00016728,1.36483
0.00016828,0.0871049,,0.00016828,1.36815
0.00016928,0.0874118,,0.00016928,1.37143
0.00017028,0.0877153,,0.00017028,1.37466
0.00017128,0.0880153,,0.00017128,1.37784
0.00017228,0.0883118,,0.00017228,1.38097
0.00017328,0.0886048,,0.00017328,1.38405
0.00017428,0.0888944,,0.00017428,1.38709
0.00017528,0.0891804,,0.00017528,1.39008
0.00017628,0.0894629,,0.00017628,1.39303
0.00017728,0.0897419,,0.00017728,1.39593
0.00017828,0.0900173,,0.00017828,1.39878
0.00017928,0.0902892,,0.00017928,1.40159
0.00018028,0.0905575,,0.00018028,1.40436
0.00018128,0.0908222,,0.00018128,1.40707
0.00018228,0.0910834,,0.00018228,1.40975
0.00018328,0.0913409,,0.00018328,1.41238
0.00018428,0.0915949,,0.00018428,1.41496
0.00018528,0.0918452,,0.00018528,1.4175
0.00018628,0.0920919,,0.00018628,1.42
0.00018728,0.092335,,0.00018728,1.42245
0.00018828,0.0925744,,0.00018828,1.42486
0.00018928,0.0928102,,0.00018928,1.42722
0.00019028,0.0930423,,0.00019028,1.42954
0.00019128,0.0932707,,0.00019128,1.43182
0.00019228,0.0934955,,0.00019228,1.43406
0.00019328,0.0937165,,0.00019328,1.43625
0.00019428,0.0939339,,0.00019428,1.43841
0.00019528,0.0941475,,0.00019528,1.44051
0.00019628,0.0943575,,0.00019628,1.44258
0.00019728,0.0945637,,0.00019728,1.44461
0.00019828,0.0947661,,0.00019828,1.44659
0.00019928,0.0949649,,0.00019928,1.44854
0.00020028,0.0951599,,0.00020028,1.45044
